item_id,category,fabric,color,style_tag,price,adaptive_features
81,Skirt,Jersey Knit,Royal Blue,Casual,27.87,adjustable_hem
82,Skirt,Wool-Blend,Royal Blue,Winter,98.37,tagless|magnetic_closure|seamless_interior
83,Shirt,Cotton-Blend,Charcoal,Formal,54.21,one_handed_zipper_pull|wheelchair_back_length|high_contrast_pattern|tagless|elastic_waist
84,Shirt,Fleece,Olive,Summer,94.96,reflective_trim
85,Shirt,Polyester-Blend,Royal Blue,Formal,112.24,seamless_interior
86,Shoes,Cotton-Blend,Beige,Sport,56.05,wheelchair_back_length|velcro_closure|magnetic_closure|tagless
87,Trousers,Wool-Blend,Red,Formal,92.51,no_buttons|removable_sleeve|elastic_waist
88,T-Shirt,Jersey Knit,Grey,Winter,109.09,none
89,Trousers,Cotton,Beige,Summer,100.56,no_buttons|wide_arm_hole
90,Shoes,Denim,Grey,Workwear,108.3,wheelchair_back_length
91,Skirt,Jersey Knit,Navy,Loungewear,9.21,prosthetic_leg_access_zip
92,Jacket,Denim,Black,Sport,18.22,adjustable_hem|seamless_interior|tagless|front_opening
93,Jeans,Wool-Blend,Red,Sport,114.41,prosthetic_leg_access_zip
94,Jeans,Cotton,Navy,Loungewear,72.23,wheelchair_back_length|magnetic_closure|wide_arm_hole|high_contrast_pattern|seamless_interior
95,Skirt,Linen,Navy,Winter,58.23,wheelchair_back_length|seamless_interior
96,Jacket,Denim,White,Formal,44.81,wheelchair_back_length
97,Shoes,Jersey Knit,Olive,Winter,92.27,elastic_waist|tagless|no_buttons
98,Jeans,Cotton-Blend,Maroon,Loungewear,96.44,reflective_trim|elastic_waist|one_handed_zipper_pull
99,Nightwear,Jersey Knit,Navy,Workwear,63.38,none
100,T-Shirt,Cotton,Maroon,Workwear,69.55,none
101,Trousers,Jersey Knit,Maroon,Loungewear,107.42,one_handed_zipper_pull|tagless
102,Jeans,Wool-Blend,Navy,Workwear,21.11,adjustable_hem
103,Hoodie,Cotton,Royal Blue,Formal,93.29,none
104,Hoodie,Cotton,Maroon,Loungewear,19.33,removable_sleeve|extra_wide_leg_opening
105,Dress,Cotton,Olive,Sport,86.51,none
106,Shirt,Denim,Charcoal,Casual,100.05,none
107,T-Shirt,Cotton,Navy,Loungewear,17.11,velcro_closure|extra_wide_leg_opening|simple_texture_id
108,Shirt,Linen,Olive,Formal,118.5,none
109,Skirt,Jersey Knit,Olive,Loungewear,49.51,tagless
110,Nightwear,Fleece,Beige,Casual,114.09,prosthetic_leg_access_zip|reflective_trim|side_seated_fit
111,Shirt,Cotton,Red,Loungewear,92.38,seamless_interior|prosthetic_leg_access_zip|tagless|simple_texture_id|adjustable_hem
112,Skirt,Polyester-Blend,White,Formal,17.35,reflective_trim
113,Dress,Denim,Navy,Casual,70.54,no_buttons|simple_texture_id|tagless
114,Jeans,Denim,Navy,Casual,109.51,extra_wide_leg_opening|magnetic_closure
115,Shoes,Cotton,Royal Blue,Workwear,63.17,none
116,Shirt,Denim,Black,Loungewear,60.49,none
117,Hoodie,Denim,Maroon,Formal,21.31,none
118,Shirt,Fleece,Maroon,Sport,80.71,none
119,Jeans,Linen,Grey,Winter,73.34,front_opening|high_contrast_pattern|removable_sleeve
120,Shirt,Fleece,Olive,Workwear,49.99,removable_sleeve|front_opening|extra_wide_leg_opening|tagless|no_buttons
121,Shirt,Jersey Knit,Olive,Summer,105.28,elastic_waist
122,Jacket,Polyester-Blend,Olive,Formal,115.88,removable_sleeve
123,Dress,Polyester-Blend,Grey,Summer,116.63,none
124,Nightwear,Wool-Blend,White,Summer,107.81,none
125,Trousers,Wool-Blend,Black,Workwear,119.21,front_opening|wheelchair_back_length
126,Skirt,Polyester-Blend,Maroon,Workwear,70.03,none
127,Jacket,Cotton-Blend,Royal Blue,Summer,66.59,tagless|prosthetic_leg_access_zip|front_opening|reflective_trim|adjustable_hem
128,Nightwear,Denim,Black,Sport,85.92,simple_texture_id|side_seated_fit
129,T-Shirt,Denim,Charcoal,Winter,78.29,prosthetic_leg_access_zip|velcro_closure
130,Hoodie,Denim,Beige,Sport,108.93,reflective_trim|one_handed_zipper_pull
131,Shirt,Denim,White,Winter,39.47,none
132,Jeans,Polyester-Blend,White,Workwear,107.71,adjustable_hem|elastic_waist|front_opening|simple_texture_id|wheelchair_back_length
133,Skirt,Wool-Blend,Maroon,Winter,77.45,high_contrast_pattern|wheelchair_back_length
134,Dress,Linen,Beige,Workwear,29.07,simple_texture_id
135,T-Shirt,Wool-Blend,Beige,Formal,47.58,elastic_waist|no_buttons
136,Skirt,Cotton,Charcoal,Summer,16.71,simple_texture_id|high_contrast_pattern
137,Shoes,Polyester-Blend,Red,Formal,118.46,front_opening|tagless|magnetic_closure|removable_sleeve|wide_arm_hole
138,Skirt,Denim,Royal Blue,Workwear,68.04,one_handed_zipper_pull|high_contrast_pattern|front_opening
139,Dress,Wool-Blend,Royal Blue,Loungewear,99.15,high_contrast_pattern
140,Trousers,Wool-Blend,Grey,Workwear,26.21,seamless_interior|simple_texture_id|reflective_trim
141,T-Shirt,Cotton,Black,Loungewear,100.12,velcro_closure|removable_sleeve|reflective_trim|extra_wide_leg_opening
142,Trousers,Cotton,White,Workwear,89.28,tagless|front_opening|side_seated_fit|simple_texture_id
143,Shirt,Wool-Blend,Royal Blue,Casual,54.84,no_buttons|simple_texture_id
144,Nightwear,Linen,Maroon,Sport,105.0,magnetic_closure|extra_wide_leg_opening|reflective_trim|elastic_waist
145,Shirt,Polyester-Blend,Grey,Casual,10.95,none
146,Nightwear,Fleece,White,Formal,98.78,adjustable_hem
147,Skirt,Cotton-Blend,Beige,Loungewear,24.85,removable_sleeve|wide_arm_hole|simple_texture_id|tagless|prosthetic_leg_access_zip
148,Jeans,Linen,Navy,Winter,50.66,no_buttons|front_opening
149,Nightwear,Wool-Blend,Black,Winter,102.32,velcro_closure|side_seated_fit|prosthetic_leg_access_zip|one_handed_zipper_pull|no_buttons
150,Hoodie,Polyester-Blend,Beige,Workwear,60.49,magnetic_closure|seamless_interior|side_seated_fit
151,Shirt,Denim,White,Summer,38.62,adjustable_hem|removable_sleeve
152,Shoes,Wool-Blend,Red,Casual,104.85,none
153,Trousers,Jersey Knit,Black,Formal,119.97,side_seated_fit|wide_arm_hole|velcro_closure
154,Shoes,Denim,Charcoal,Summer,70.21,tagless|prosthetic_leg_access_zip|side_seated_fit|reflective_trim|elastic_waist
155,Trousers,Cotton-Blend,Maroon,Winter,113.81,prosthetic_leg_access_zip|high_contrast_pattern|reflective_trim
156,Skirt,Denim,Navy,Sport,35.7,simple_texture_id|velcro_closure|adjustable_hem
157,Shirt,Linen,Royal Blue,Loungewear,22.47,prosthetic_leg_access_zip|high_contrast_pattern
158,Shoes,Polyester-Blend,Navy,Summer,75.89,front_opening|simple_texture_id|prosthetic_leg_access_zip|one_handed_zipper_pull|side_seated_fit
159,Jeans,Cotton-Blend,Navy,Sport,83.23,wheelchair_back_length
160,Trousers,Polyester-Blend,Beige,Sport,48.11,tagless|prosthetic_leg_access_zip
161,T-Shirt,Cotton-Blend,Black,Sport,83.22,none
162,Dress,Cotton-Blend,Grey,Casual,94.5,no_buttons|simple_texture_id
163,Hoodie,Polyester-Blend,Navy,Casual,103.44,seamless_interior|extra_wide_leg_opening
164,Nightwear,Cotton-Blend,Charcoal,Workwear,70.83,side_seated_fit|simple_texture_id
165,Skirt,Polyester-Blend,Navy,Winter,53.19,high_contrast_pattern|prosthetic_leg_access_zip|magnetic_closure|tagless
166,Nightwear,Denim,Charcoal,Workwear,11.22,none
167,Trousers,Linen,Red,Sport,77.47,seamless_interior|prosthetic_leg_access_zip|reflective_trim
168,Trousers,Polyester-Blend,Red,Loungewear,31.85,elastic_waist|tagless|side_seated_fit
169,Dress,Wool-Blend,Navy,Sport,9.63,none
170,Jeans,Wool-Blend,Charcoal,Workwear,74.07,wide_arm_hole
171,Hoodie,Cotton-Blend,Grey,Sport,57.0,one_handed_zipper_pull
172,Shoes,Polyester-Blend,Beige,Loungewear,47.0,magnetic_closure|prosthetic_leg_access_zip|high_contrast_pattern|extra_wide_leg_opening
173,Shoes,Fleece,Red,Sport,95.77,high_contrast_pattern|extra_wide_leg_opening
174,Hoodie,Jersey Knit,Grey,Loungewear,77.67,one_handed_zipper_pull
175,Jeans,Jersey Knit,Olive,Sport,114.35,high_contrast_pattern|wheelchair_back_length|elastic_waist|removable_sleeve
176,Skirt,Jersey Knit,Navy,Workwear,111.78,none
177,Nightwear,Cotton,Royal Blue,Winter,36.92,one_handed_zipper_pull|seamless_interior
178,Dress,Cotton-Blend,Olive,Winter,117.76,one_handed_zipper_pull|no_buttons
179,Dress,Denim,Red,Winter,44.82,elastic_waist|tagless
180,Skirt,Cotton-Blend,Royal Blue,Workwear,34.9,tagless|extra_wide_leg_opening
181,Hoodie,Polyester-Blend,Maroon,Workwear,22.43,none
182,Skirt,Cotton,Beige,Winter,25.01,none
183,Nightwear,Cotton-Blend,Navy,Summer,79.78,none
184,Jacket,Fleece,Charcoal,Casual,46.71,front_opening
185,Shirt,Cotton-Blend,Red,Formal,61.08,prosthetic_leg_access_zip|high_contrast_pattern|extra_wide_leg_opening|velcro_closure
186,Hoodie,Jersey Knit,Olive,Loungewear,27.3,removable_sleeve|reflective_trim|front_opening
187,Trousers,Jersey Knit,Black,Loungewear,12.58,removable_sleeve
188,Dress,Polyester-Blend,Navy,Casual,39.2,adjustable_hem
189,Jacket,Linen,Beige,Loungewear,17.93,tagless
190,Jeans,Wool-Blend,Beige,Loungewear,59.61,none
191,Hoodie,Wool-Blend,Beige,Casual,48.8,adjustable_hem
192,T-Shirt,Cotton,Beige,Winter,85.32,wheelchair_back_length|velcro_closure
193,T-Shirt,Fleece,White,Workwear,97.53,none
194,Jacket,Polyester-Blend,Royal Blue,Formal,17.16,seamless_interior|reflective_trim
195,Skirt,Polyester-Blend,Black,Winter,111.14,prosthetic_leg_access_zip|seamless_interior|removable_sleeve|high_contrast_pattern
196,Shoes,Denim,Royal Blue,Workwear,39.01,none
197,Jeans,Denim,Red,Summer,91.81,extra_wide_leg_opening|prosthetic_leg_access_zip|magnetic_closure
198,Shoes,Cotton-Blend,Maroon,Formal,31.45,side_seated_fit
199,Jacket,Denim,Royal Blue,Casual,62.27,simple_texture_id
200,Nightwear,Jersey Knit,Charcoal,Loungewear,49.32,wide_arm_hole|elastic_waist
201,Jacket,Jersey Knit,Royal Blue,Workwear,91.72,prosthetic_leg_access_zip|adjustable_hem
202,Trousers,Linen,Charcoal,Workwear,36.27,none
203,T-Shirt,Denim,Red,Casual,108.26,side_seated_fit|tagless|high_contrast_pattern
204,Trousers,Polyester-Blend,Olive,Workwear,67.6,seamless_interior|simple_texture_id
205,Trousers,Polyester-Blend,Olive,Formal,58.11,none
206,Nightwear,Fleece,Royal Blue,Sport,35.16,elastic_waist|seamless_interior
207,Trousers,Jersey Knit,Royal Blue,Workwear,50.26,tagless
208,Shirt,Jersey Knit,Black,Loungewear,44.07,none
209,Jeans,Polyester-Blend,Maroon,Workwear,44.68,tagless
210,Hoodie,Polyester-Blend,Royal Blue,Loungewear,107.74,none
211,Trousers,Cotton-Blend,Charcoal,Casual,84.06,no_buttons|elastic_waist
212,Dress,Denim,Maroon,Sport,63.83,front_opening|wheelchair_back_length|velcro_closure
213,Trousers,Wool-Blend,Charcoal,Winter,68.16,none
214,T-Shirt,Cotton-Blend,Red,Summer,91.49,elastic_waist|removable_sleeve
215,Nightwear,Cotton,Royal Blue,Workwear,22.29,reflective_trim|simple_texture_id
216,Skirt,Cotton-Blend,White,Sport,48.67,one_handed_zipper_pull
217,Dress,Jersey Knit,Navy,Loungewear,71.93,velcro_closure|no_buttons
218,Jeans,Denim,Charcoal,Winter,118.49,adjustable_hem
219,Trousers,Fleece,White,Summer,34.57,simple_texture_id|extra_wide_leg_opening
220,Jeans,Cotton,Charcoal,Sport,25.12,none
221,Dress,Fleece,Beige,Winter,26.0,reflective_trim
222,Dress,Linen,Maroon,Winter,39.93,wheelchair_back_length
223,Trousers,Polyester-Blend,Black,Sport,108.44,adjustable_hem
224,Trousers,Fleece,White,Formal,66.75,none
225,Skirt,Wool-Blend,Grey,Workwear,118.03,high_contrast_pattern|front_opening
226,Dress,Polyester-Blend,Olive,Loungewear,52.56,none
227,Dress,Jersey Knit,Royal Blue,Loungewear,104.94,side_seated_fit|reflective_trim|prosthetic_leg_access_zip|wide_arm_hole|simple_texture_id
228,Hoodie,Jersey Knit,Navy,Summer,36.89,high_contrast_pattern|magnetic_closure|side_seated_fit
229,Skirt,Denim,Olive,Summer,82.89,reflective_trim
230,Dress,Jersey Knit,Maroon,Workwear,70.36,one_handed_zipper_pull|elastic_waist|wide_arm_hole|seamless_interior
231,Jacket,Cotton,Black,Casual,39.36,tagless|elastic_waist
232,Trousers,Wool-Blend,Royal Blue,Casual,28.95,no_buttons|magnetic_closure|adjustable_hem
233,Jeans,Fleece,Red,Formal,55.65,extra_wide_leg_opening
234,Jacket,Linen,Navy,Sport,35.15,wide_arm_hole|side_seated_fit
235,Trousers,Cotton,Olive,Winter,76.39,none
236,Jeans,Polyester-Blend,Navy,Winter,73.1,wheelchair_back_length
237,Shirt,Denim,Royal Blue,Casual,61.89,adjustable_hem
238,Nightwear,Wool-Blend,Black,Casual,13.8,tagless|front_opening
239,T-Shirt,Polyester-Blend,Grey,Loungewear,23.05,high_contrast_pattern
240,T-Shirt,Denim,Olive,Casual,118.88,none
241,T-Shirt,Jersey Knit,Beige,Sport,98.71,adjustable_hem
242,Skirt,Fleece,Grey,Casual,84.33,tagless
243,Hoodie,Jersey Knit,White,Winter,74.71,removable_sleeve|magnetic_closure|seamless_interior
244,Shoes,Wool-Blend,White,Casual,54.13,tagless|extra_wide_leg_opening
245,Trousers,Cotton-Blend,Charcoal,Winter,112.11,adjustable_hem
246,Jacket,Fleece,White,Sport,116.08,prosthetic_leg_access_zip|simple_texture_id|extra_wide_leg_opening
247,T-Shirt,Denim,Maroon,Workwear,89.86,none
248,Nightwear,Denim,Olive,Sport,28.3,wheelchair_back_length|magnetic_closure|reflective_trim|adjustable_hem
249,Shirt,Denim,Royal Blue,Loungewear,91.01,none
250,Hoodie,Cotton-Blend,Maroon,Casual,102.28,adjustable_hem|front_opening
251,Jacket,Jersey Knit,Grey,Loungewear,97.07,none
252,Jacket,Fleece,Royal Blue,Summer,26.33,extra_wide_leg_opening
253,Shirt,Cotton-Blend,Black,Sport,99.23,side_seated_fit
254,Skirt,Linen,Maroon,Summer,66.58,one_handed_zipper_pull|velcro_closure|removable_sleeve
255,Skirt,Polyester-Blend,Navy,Winter,106.25,extra_wide_leg_opening
256,Nightwear,Fleece,Red,Casual,99.46,reflective_trim
257,Nightwear,Denim,Grey,Workwear,50.22,wheelchair_back_length|side_seated_fit
258,Shoes,Cotton-Blend,Red,Winter,41.75,high_contrast_pattern|prosthetic_leg_access_zip
259,Jeans,Cotton-Blend,Olive,Casual,64.3,extra_wide_leg_opening|front_opening|velcro_closure
260,Shoes,Cotton,Red,Winter,108.75,no_buttons
261,T-Shirt,Cotton,Grey,Winter,68.88,seamless_interior
262,Nightwear,Linen,Grey,Sport,77.91,magnetic_closure|seamless_interior|elastic_waist|removable_sleeve
263,Trousers,Linen,Navy,Summer,113.26,none
264,Skirt,Linen,Maroon,Casual,45.51,magnetic_closure|high_contrast_pattern
265,Dress,Cotton-Blend,Royal Blue,Loungewear,96.93,none
266,Shirt,Wool-Blend,Charcoal,Formal,67.75,removable_sleeve|simple_texture_id
267,T-Shirt,Cotton-Blend,White,Winter,96.32,simple_texture_id|seamless_interior|wide_arm_hole|prosthetic_leg_access_zip
268,Shirt,Cotton,Black,Formal,42.91,removable_sleeve
269,Hoodie,Jersey Knit,Olive,Formal,91.32,velcro_closure
270,Trousers,Cotton,Maroon,Summer,71.83,none
271,Jeans,Polyester-Blend,Beige,Sport,106.2,extra_wide_leg_opening|front_opening|high_contrast_pattern
272,Shoes,Jersey Knit,Navy,Workwear,99.98,side_seated_fit
273,Shirt,Fleece,White,Summer,102.8,none
274,Nightwear,Cotton,Olive,Casual,52.5,none
275,Jacket,Cotton-Blend,Maroon,Loungewear,24.79,no_buttons|wheelchair_back_length|removable_sleeve
276,Jacket,Denim,Red,Workwear,88.89,magnetic_closure
277,Jacket,Wool-Blend,White,Winter,79.81,wheelchair_back_length|front_opening|no_buttons
278,Shirt,Polyester-Blend,Black,Formal,68.79,reflective_trim|front_opening|tagless
279,Jacket,Cotton,Beige,Casual,46.72,reflective_trim
280,Dress,Cotton-Blend,White,Workwear,109.75,prosthetic_leg_access_zip
281,Hoodie,Cotton,Grey,Winter,52.9,front_opening|extra_wide_leg_opening
282,Shirt,Denim,Maroon,Loungewear,114.1,wide_arm_hole|side_seated_fit
283,Hoodie,Cotton-Blend,Charcoal,Casual,73.66,simple_texture_id
284,Skirt,Cotton-Blend,Charcoal,Workwear,76.48,removable_sleeve|tagless
285,Shirt,Polyester-Blend,Grey,Formal,105.68,none
286,Skirt,Jersey Knit,Beige,Loungewear,71.29,wheelchair_back_length|wide_arm_hole|high_contrast_pattern|no_buttons
287,Jeans,Fleece,Charcoal,Casual,111.32,wide_arm_hole|front_opening|side_seated_fit
288,Hoodie,Wool-Blend,Beige,Loungewear,25.08,tagless|adjustable_hem|seamless_interior
289,Jeans,Wool-Blend,Red,Loungewear,75.95,adjustable_hem|simple_texture_id
290,T-Shirt,Fleece,Red,Summer,90.48,wide_arm_hole|adjustable_hem
291,T-Shirt,Denim,Beige,Loungewear,111.66,velcro_closure|one_handed_zipper_pull|high_contrast_pattern|side_seated_fit
292,Dress,Linen,Grey,Casual,20.68,removable_sleeve|velcro_closure
293,T-Shirt,Fleece,Navy,Casual,101.96,prosthetic_leg_access_zip|no_buttons|front_opening|velcro_closure|elastic_waist
294,Shirt,Denim,Grey,Formal,111.13,none
295,Shoes,Linen,Navy,Casual,66.11,prosthetic_leg_access_zip|simple_texture_id|side_seated_fit|wheelchair_back_length
296,Hoodie,Fleece,Navy,Summer,52.69,side_seated_fit|one_handed_zipper_pull
297,Jacket,Cotton-Blend,Black,Loungewear,45.54,none
298,Skirt,Wool-Blend,Black,Loungewear,8.52,velcro_closure|seamless_interior|extra_wide_leg_opening
299,Trousers,Jersey Knit,White,Formal,52.59,extra_wide_leg_opening
300,Hoodie,Fleece,Black,Workwear,111.02,wide_arm_hole|reflective_trim
301,Dress,Wool-Blend,Olive,Workwear,46.86,front_opening
302,Dress,Polyester-Blend,Grey,Loungewear,58.65,elastic_waist|velcro_closure|side_seated_fit
303,Nightwear,Denim,Maroon,Summer,58.67,one_handed_zipper_pull
304,Shirt,Polyester-Blend,Beige,Loungewear,27.76,none
305,Jacket,Jersey Knit,Olive,Sport,54.92,reflective_trim|elastic_waist
306,Jeans,Cotton,Red,Casual,48.59,seamless_interior|magnetic_closure|high_contrast_pattern|wheelchair_back_length
307,Jacket,Denim,Grey,Casual,78.81,elastic_waist|removable_sleeve
308,Jeans,Denim,Red,Workwear,82.32,none
309,Jeans,Polyester-Blend,Beige,Summer,115.64,velcro_closure
310,Trousers,Fleece,White,Workwear,54.44,none
311,Jacket,Jersey Knit,Charcoal,Casual,119.65,none
312,Shoes,Denim,Royal Blue,Workwear,74.68,simple_texture_id|tagless
313,Dress,Fleece,Royal Blue,Casual,92.0,none
314,Shirt,Denim,Charcoal,Formal,108.58,side_seated_fit
315,Nightwear,Wool-Blend,Black,Sport,29.36,magnetic_closure
316,Shoes,Denim,Grey,Sport,60.87,none
317,Shirt,Cotton,Grey,Workwear,15.36,seamless_interior|high_contrast_pattern
318,T-Shirt,Jersey Knit,Olive,Workwear,58.77,tagless|adjustable_hem|simple_texture_id
319,Dress,Jersey Knit,Grey,Formal,57.37,adjustable_hem|high_contrast_pattern
320,Jacket,Fleece,Maroon,Winter,70.68,extra_wide_leg_opening|elastic_waist
321,Jeans,Fleece,Olive,Sport,28.38,simple_texture_id
322,Shirt,Polyester-Blend,Charcoal,Casual,113.96,wheelchair_back_length|tagless|seamless_interior|simple_texture_id
323,Shoes,Jersey Knit,Charcoal,Formal,38.32,seamless_interior
324,Trousers,Jersey Knit,Navy,Formal,53.78,adjustable_hem|elastic_waist
325,Jacket,Jersey Knit,Grey,Winter,25.49,none
326,Shirt,Linen,White,Formal,81.8,side_seated_fit|high_contrast_pattern|no_buttons
327,T-Shirt,Jersey Knit,Red,Summer,32.86,none
328,Shirt,Cotton,Olive,Loungewear,83.25,adjustable_hem
329,Skirt,Fleece,Olive,Loungewear,19.66,none
330,T-Shirt,Wool-Blend,Charcoal,Winter,28.0,prosthetic_leg_access_zip|simple_texture_id|reflective_trim
331,T-Shirt,Cotton,Red,Casual,34.68,front_opening|seamless_interior|no_buttons
332,Jacket,Linen,Navy,Casual,35.24,none
